fold,xgb_rmsle,lgb_rmsle,xgb_rmse,lgb_rmse
1,1.0872642139753792,1.0925743706407616,114.78894128618464,115.27676247066947
2,1.1679079623753774,1.178061976400049,134.39291158478127,133.29538407237396
3,1.2277034107782698,1.2330414771331062,145.29895924222538,145.9273186862606
4,1.1752000903157689,1.1799235098627543,123.34514221860944,123.56106014421071
5,1.2139155291049497,1.2243199520580434,124.01538881411699,123.96395117465879
